a rep network bll blc ans model.rnd network.rnd assign.rnd network.size metacog communicating ncond cond time.fac avg.degree node.id node.degree node.betweenness score items.taken msgs.sent msgs.rcvd msgs.answers msgs.truthful talkative avg.pathlen clust.global clust.avg betweenness nbhd.infavail nbhd.entropy post.nbhd.infavail post.nbhd.entropy
1 20007 SmallWorld 0.7449523 1.0 0.2 T T T 250 NIL T SmallWorld PUSH 0.1 66.5512 94 59 0.006021873 437250.0 3.0 33.0 3573.0 1.0 0.0 0.0 1.7327229 0.2694442 0.26959687 1.9596 NA NA NA NA
1 20007 Tree 0.7449523 1.0 0.2 T T T 250 NIL T Tree PUSH 0.1 66.5512 21 1 0.0 262375.0 8.0 116.0 44.0 0.0 0.0 0.0 3.1075473 0.0 0.0 4.2150946 NA NA NA NA
1 20007 Tree 0.7449523 1.0 0.2 T T T 250 NIL T Tree PUSH 0.1 66.5512 181 1 0.0 157375.0 14.0 130.0 85.0 0.0 0.0 0.0 3.1075473 0.0 0.0 4.2150946 NA NA NA NA
1 20008 Tree 0.42869094 1.0 0.2 T T T 25 NIL T Tree PUSH 0.1 4.1726074 22 1 0.0 11125.0 2.0 13.0 15.0 0.0 0.0 0.0 3.8730159 0.0 0.0 5.7460318 NA NA NA NA
1 20008 Tree 0.42869094 1.0 0.2 T T T 25 NIL T Tree PULL 0.1 4.1726074 12 1 0.0 17375.0 9.0 29.0 18.0 0.0 0.0 0.0 3.8730159 0.0 0.0 5.7460318 NA NA NA NA
1 20008 Tree 0.15531607 1.0 0.2 T T T 25 NIL T Tree PULL 0.1 4.522101 1 4 1.0769231 24500.0 6.0 10.0 23.0 1.0 0.0 0.0 3.4985754 0.0 0.0 4.997151 NA NA NA NA
1 20008 Tree 0.3765706 1.0 0.2 T T T 25 T T Tree PUSH 0.1 4.3641386 2 4 0.3968254 28500.0 13.0 52.0 94.0 3.0 2.0 0.029599115632423272 3.5714285 0.0 0.0 5.142857 NA NA NA NA
1 20008 Tree 0.3765706 1.0 0.2 T T T 25 T T Tree PUSH 0.1 4.3641386 9 1 0.0 13625.0 2.0 15.0 52.0 0.0 0.0 0.75 3.5714285 0.0 0.0 5.142857 NA NA NA NA
1 20008 SmallWorld 0.7188042 1.0 0.2 T T T 250 T T SmallWorld PUSH 0.1 23.401983 201 24 0.011756549 261000.0 17.0 116.0 2577.0 0.0 0.0 0.044639309647695385 2.0065541 0.09079489 0.09125274 3.3157287 NA NA NA NA
1 20008 RandomGraph 0.7188042 1.0 0.2 T T T 250 T T RandomGraph PUSH 0.1 23.401983 20 23 0.01389219 222875.0 5.0 126.0 2418.0 0.0 0.0 0.75 2.0243535 0.093374096 0.09350955 3.3592067 NA NA NA NA
1 20008 Tree 0.7188042 1.0 0.2 T T T 250 T T Tree PUSH 0.1 23.401983 259 1 0.0 24250.0 0.0 105.0 107.0 0.0 0.0 0.75 3.6620429 0.0 0.0 5.3240857 NA NA NA NA
1 20008 SmallWorld 0.7188042 1.0 0.2 T T T 250 NIL T SmallWorld PUSH 0.1 23.401983 58 29 0.016216623 419625.0 2.0 21.0 2007.0 1.0 1.0 0.0 2.0056868 0.09239483 0.09255998 3.3254685 NA NA NA NA
1 20008 RandomGraph 0.7188042 1.0 0.2 T T T 250 NIL T RandomGraph PULL 0.1 23.401983 39 22 0.012948158 392875.0 4.0 48.0 1318.0 0.0 0.0 0.0 2.033992 0.089573845 0.08992514 3.3901515 NA NA NA NA
1 20009 Tree 0.27116537 1.0 0.2 T T T 25 NIL T Tree PULL 0.1 5.7975807 15 1 0.0 10000.0 2.0 20.0 11.0 0.0 0.0 0.0 3.2114942 0.0 0.0 4.4229884 NA NA NA NA
1 20009 SmallWorld 0.4014123 1.0 0.2 T T T 25 NIL T SmallWorld PUSH 0.1 2.3587384 5 2 0.19459459 12875.0 4.0 12.0 20.0 0.0 0.0 0.0 3.68 0.0 0.0 5.7783785 NA NA NA NA
1 20009 Tree 0.45362294 1.0 0.2 T T T 250 T T Tree PUSH 0.1 54.192905 261 1 0.0 70625.0 2.0 19.0 83.0 1.0 0.0 0.75 3.2616541 0.0 0.0 4.5233083 NA NA NA NA
1 20009 RandomGraph 0.45362294 1.0 0.2 T T T 250 NIL T RandomGraph PUSH 0.1 54.192905 4 58 0.008841703 207500.0 4.0 15.0 935.0 0.0 0.0 0.0 1.7836466 0.21619749 0.21632548 1.9534843 NA NA NA NA
1 20010 Tree 0.3136714 1.0 0.2 T T T 25 NIL T Tree PULL 0.1 3.565528 3 4 1.1428572 19875.0 6.0 7.0 41.0 0.0 0.0 0.0 4.089947 0.0 0.0 6.179894 NA NA NA NA
1 20010 SmallWorld 0.5 1.0 0.2 T T T 25 NIL NIL NoCommunication PULL 0.1 2.3 5 3 0.5 20000.0 5.0 0.0 0.0 0.0 0.0 0.0 4.26 0.0 0.0 7.138298 NA NA NA NA
1 20010 RandomGraph 0.7230196 1.0 0.2 T T T 250 T T RandomGraph PUSH 0.1 49.318214 94 44 0.005852481 244500.0 11.0 127.0 4607.0 0.0 0.0 0.007786882091367854 1.8006747 0.20014653 0.20030716 1.9507344 NA NA NA NA
1 20010 SmallWorld 0.7230196 1.0 0.2 T T T 250 NIL T SmallWorld PUSH 0.1 49.318214 196 55 0.009432979 441500.0 6.0 90.0 3014.0 0.0 0.0 0.0 1.8019919 0.19798745 0.19812104 1.9555199 NA NA NA NA
1 20010 SmallWorld 0.7230196 1.0 0.2 T T T 250 NIL T SmallWorld PULL 0.1 49.318214 144 44 0.0061064768 397250.0 6.0 50.0 2540.0 1.0 0.0 0.0 1.8019277 0.19898623 0.19901918 1.9503345 NA NA NA NA
1 20010 Tree 0.7230196 1.0 0.2 T T T 250 NIL T Tree PULL 0.1 49.318214 109 1 0.0 128750.0 8.0 127.0 22.0 0.0 0.0 0.0 3.372199 0.0 0.0 4.744398 NA NA NA NA
1 20011 Tree 0.66776574 1.0 0.2 T T T 25 NIL T Tree PUSH 0.1 2.6174712 0 2 0.61538464 15375.0 6.0 21.0 34.0 0.0 0.0 0.0 5.0707693 0.0 0.0 8.141539 NA NA NA NA
1 20011 SmallWorld 0.19286814 1.0 0.2 T T T 25 T T SmallWorld PUSH 0.1 4.304099 0 5 0.14551607 22875.0 5.0 22.0 90.0 0.0 0.0 0.1898177871964851 2.2566667 0.16256158 0.22552381 3.3840947 NA NA NA NA
1 20011 SmallWorld 0.15802804 1.0 0.2 T T T 250 NIL T SmallWorld PUSH 0.1 27.233791 35 34 0.017925445 128375.0 1.0 3.0 147.0 0.0 0.0 0.0 1.9351004 0.11127124 0.11158218 2.9902985 NA NA NA NA
1 20011 SmallWorld 0.15802804 1.0 0.2 T T T 250 NIL T SmallWorld PULL 0.1 27.233791 248 28 0.01179029 130625.0 2.0 13.0 137.0 0.0 0.0 0.0 1.9338474 0.10757594 0.107844085 2.9713838 NA NA NA NA
1 20011 RandomGraph 0.15802804 1.0 0.2 T T T 250 NIL T RandomGraph PULL 0.1 27.233791 161 24 0.009108873 128125.0 1.0 5.0 115.0 0.0 0.0 0.0 1.9351647 0.10762332 0.10767319 2.9956145 NA NA NA NA
